volumen,disrupcion,algoritmo,replica,semilla,pedidos_totales,pedidos_atendidos,pedidos_a_tiempo,pct_cumplimiento_global,costo_operativo_total,saturacion_almacenes_pct,tiempo_ejecucion_ms
medio,bajo,alns,24,24,369,92,92,24.93,15878.00,0.00,5462
medio,bajo,aco,25,25,369,360,360,97.56,94016.00,0.00,4471
medio,bajo,alns,25,25,369,93,93,25.20,16240.00,0.00,5129
medio,bajo,aco,26,26,369,359,359,97.29,91098.00,0.00,4542
medio,bajo,alns,26,26,369,93,93,25.20,16638.00,0.00,5033
medio,bajo,aco,27,27,369,361,361,97.83,94822.00,0.00,4539
medio,bajo,alns,27,27,369,94,94,25.47,16938.00,0.00,5121
medio,bajo,aco,28,28,369,360,360,97.56,92614.00,0.00,4803
medio,bajo,alns,28,28,369,94,94,25.47,16924.00,0.00,5151
medio,bajo,aco,29,29,369,360,360,97.56,91616.00,0.00,4607
medio,bajo,alns,29,29,369,94,94,25.47,18246.00,0.00,5161
medio,bajo,aco,30,30,369,359,359,97.29,94210.00,0.00,4434
medio,bajo,alns,30,30,369,93,93,25.20,16368.00,0.00,5481
alto,bajo,aco,1,1,609,571,571,93.76,145046.00,0.00,9041
alto,bajo,alns,1,1,609,93,93,15.27,18126.00,0.00,6717
alto,bajo,aco,2,2,609,578,578,94.91,147894.00,0.00,9373
alto,bajo,alns,2,2,609,95,95,15.60,17974.00,0.00,6520
alto,bajo,aco,3,3,609,572,572,93.92,149294.00,0.00,9090
alto,bajo,alns,3,3,609,95,95,15.60,18990.00,0.00,5406
alto,bajo,aco,4,4,609,575,575,94.42,147140.00,0.00,9294
alto,bajo,alns,4,4,609,96,96,15.76,19582.00,0.00,5353
alto,bajo,aco,5,5,609,572,572,93.92,145358.00,0.00,9378
alto,bajo,alns,5,5,609,95,95,15.60,19416.00,0.00,5214
alto,bajo,aco,6,6,609,574,574,94.25,146544.00,0.00,9285
alto,bajo,alns,6,6,609,94,94,15.44,16472.00,0.00,6420
alto,bajo,aco,7,7,609,576,576,94.58,146810.00,0.00,9044
alto,bajo,alns,7,7,609,94,94,15.44,17950.00,0.00,6650
alto,bajo,aco,8,8,609,574,574,94.25,145008.00,0.00,9523
alto,bajo,alns,8,8,609,96,96,15.76,19582.00,0.00,5389
alto,bajo,aco,9,9,609,574,574,94.25,144830.00,0.00,9148
alto,bajo,alns,9,9,609,94,94,15.44,17600.00,0.00,6284
alto,bajo,aco,10,10,609,571,571,93.76,148744.00,0.00,9121
alto,bajo,alns,10,10,609,93,93,15.27,17760.00,0.00,5644
alto,bajo,aco,11,11,609,573,573,94.09,146996.00,0.00,9016
alto,bajo,alns,11,11,609,97,97,15.93,19504.00,0.00,6234
alto,bajo,aco,12,12,609,576,576,94.58,146754.00,0.00,8986
alto,bajo,alns,12,12,609,96,96,15.76,19430.00,0.00,5438
alto,bajo,aco,13,13,609,571,571,93.76,145594.00,0.00,9035
